iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.8052,0.8247,0.7187,0.7407,0.8986
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.7974,0.8059,0.713,0.7331,0.8991
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.7403,0.7009,0.6857,0.6915,0.6857
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.7195,0.6772,0.6725,0.6746,0.6725
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8286,0.8264,0.7677,0.7864,0.8806
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.826,0.8172,0.7701,0.7862,0.8806
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8364,0.822,0.7925,0.8042,0.8871
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.839,0.8206,0.8029,0.8106,0.8882
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.813,0.8145,0.7414,0.7614,0.8536
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8,0.7991,0.7234,0.7424,0.8444
